,race_date,race_no,horse_no,horse_name,rtg,jockey,rider_wt,trainer,bar,description
0,20240331,1,1,TIN'S MACHINE,31,M LUKMAN* c3,57.0,WC LIM,8,7yo B NZ G
1,20240331,1,2,GURNEY DRIVE,30,KC THAM c1,56.5,K ANANTHEN,7,6yo B AUS G
2,20240331,1,3,TILSWORTH SYDNEY,29,SU LIM,56.0,F MAYNARD,3,7yo GR GB F
3,20240331,1,4,BIG LAWYER,27,R NUQMAN* c1,55.0,BT LIM,9,4yo CH AUS G
4,20240331,1,5,OFFICIAL,27,I FIKRI* c2,55.0,KC TIANG,2,8yo B AUS G
5,20240331,1,6,DOGE TO THE MOON,24,CLYDE LECK* c1,53.5,C LECK,4,8yo B AUS G
6,20240331,1,7,NOVA PHOENIX,23,S HAFIS c1,53.0,HY CHENG,5,8yo GR NZ F
7,20240331,1,8,APOLLO ROCK,20,L DE SOUZA,52.0,R LINES,6,8yo B NZ G
8,20240331,1,9,AUSSIE EAGLE,20,PH SEOW* c2,52.0,S SIVA,1,11yo B NZ G
9,20240331,2,1,NEVERTHELESS,43,S ZULFIKRI c2,59.0,S SIVA,2,10yo CH NZ G
10,20240331,2,2,ZEUS PEGASUS,41,H HAIKAL* c3,58.0,K ANANTHEN,7,8yo CH AUS G
11,20240331,2,3,BARBARIAN,39,A AZIZI* c3,57.0,NM SELVAN,1,7yo B AUS G
12,20240331,2,4,ROCK N ROLL,39,S HAFIS c1,57.0,I ISMADI,5,7yo CH NZ G
13,20240331,2,5,WHY NOT,39,SU LIM,57.0,WC LIM,9,10yo B AUS G
14,20240331,2,6,SHANGANI,38,KC THAM c1,56.5,F MAYNARD,6,8yo CH NZ G
15,20240331,2,7,WAIMEA,34,SCR,54.5,L MOY,8,6yo B NZ G
16,20240331,2,8,OTTAWA,33,A NAZIR* c3,54.0,F MAYNARD,3,10yo BL/BR AUS G
17,20240331,2,9,SIVAJI ROCKET,32,M LUKMAN* c3,53.5,WC LIM,4,7yo B NZ G
18,20240331,3,1,PACIFIC PRIME,35,R NUQMAN* c1,59.0,KC TIANG,1,7yo CH NZ G
19,20240331,3,2,AUTUMN BLITZ,33,SU LIM,58.0,WC LIM,4,6yo B AUS G
20,20240331,3,3,MISS MICHELLE,31,R SHAFIQ,57.0,CC OOI,7,9yo B GB M
21,20240331,3,4,LIM'S SPHERE,30,L DE SOUZA,56.5,L MOY,11,8yo GR AUS G
22,20240331,3,5,BRING IT WIN,29,S ZULFIKRI c2,56.0,K ANANTHEN,3,5yo BR NZ G
23,20240331,3,6,PENANG STAR,29,A NAZIR* c3,56.0,R LINES,10,9yo B NZ G
24,20240331,3,7,TILSWORTH MICK,27,KC THAM c1,55.0,F MAYNARD,6,8yo B GB G
25,20240331,3,8,SHE'S FLYING,25,M LUKMAN* c3,54.0,NM SELVAN,8,8yo B AUS M
26,20240331,3,9,AYAAN,20,PH SEOW* c2,52.0,K ANANTHEN,5,8yo B NZ G
27,20240331,3,10,BOSSKU,20,S HAFIS c1,52.0,HY CHENG,9,8yo B NZ G
28,20240331,3,11,SMALL CHILLI,21,Unfixed,52.0,WC LIM,2,6yo BR AUS F
29,20240331,4,1,GLOBAL ARMY,43,A NAZIR* c3,59.0,M SUKRI,9,8yo GR GB C
30,20240331,4,2,TANGESH,42,CLYDE LECK* c1,58.5,C LECK,10,5yo CH AUS G
31,20240331,4,3,HAPPY PRINCESS,40,R SHAFIQ,57.5,KC TIANG,5,5yo B USA M
32,20240331,4,4,HUNTER PEGASUS,40,SU LIM,57.5,K ANANTHEN,4,7yo B USA G
33,20240331,4,5,STARDICE,40,H HAIKAL* c3,57.5,S HAMILTON,7,9yo B NZ G
34,20240331,4,6,SKYSCRAPER,39,KC THAM c1,57.0,AB ABDULLAH,2,6yo BR AUS G
35,20240331,4,7,CHER,38,A AZIZI* c3,56.5,NM SELVAN,8,8yo B/BR NZ M
36,20240331,4,8,SORBETA,36,S ZULFIKRI c2,55.5,R LINES,3,9yo B/BR AUS G
37,20240331,4,9,XIONG FONG,36,M LUKMAN* c3,55.5,WC LIM,1,10yo B AUS G
38,20240331,4,10,GREATEST ALL TIME,33,PH SEOW* c2,54.0,HY CHENG,6,5yo B NZ F
39,20240331,4,11,ZILFIKAR,36,Unfixed,55.5,S HAMILTON,11,7yo CH NZ G
40,20240331,5,1,LIM'S UNIQUE,61,I FIKRI* c2,59.0,L MOY,5,7yo B AUS G
41,20240331,5,2,WATCH OUT BOSS,59,SCR,58.0,L MOY,10,8yo B AUS G
42,20240331,5,3,BATTLESTAR,58,S ZULFIKRI c2,57.5,S HAMILTON,1,6yo B AUS G
43,20240331,5,4,CONGAREE,58,SU LIM,57.5,L MOY,6,7yo CH AUS G
44,20240331,5,5,TERMS OF REFERENCE,57,KC THAM c1,57.0,S HAMILTON,8,11yo B NZ G
45,20240331,5,6,IRONCLAD,55,A NAZIR* c3,56.0,R LINES,4,8yo B AUS G
46,20240331,5,7,POPEYETHESAILORMAN,54,M LUKMAN* c3,55.5,MW TEH,2,4yo B AUS G
47,20240331,5,8,MAGNITUDE,52,R SHAFIQ,54.5,SY LIM,7,6yo B NZ C
48,20240331,5,9,AIR BOSS,47,S HAFIS c1,52.0,WC LIM,3,8yo B USA G
49,20240331,5,10,MASTER BABY,47,H HAIKAL* c3,52.0,HY CHENG,9,5yo B NZ G
50,20240331,6,1,RHYTHM OF ZEN,54,R NUQMAN* c1,59.0,KC TIANG,3,3yo B NZ G
51,20240331,6,2,TAU KEH SOH,53,A NAZIR* c3,58.5,F MAYNARD,2,5yo B AUS M
52,20240331,6,3,NOVA FACTOR,51,H HAIKAL* c3,57.5,CC OOI,7,8yo GR/RO USA G
53,20240331,6,4,SOMAR,51,A AZIZI* c3,57.5,NM SELVAN,9,7yo BR NZ G
54,20240331,6,5,KING'S SPEECH,50,S HAFIS c1,57.0,F MAYNARD,10,9yo B NZ G
55,20240331,6,6,WINNER'S EUPHORIA,48,KC THAM c1,56.0,S HAMILTON,4,8yo B NZ G
56,20240331,6,7,VETRI,47,R SHAFIQ,55.5,HY CHENG,5,10yo B NZ G
57,20240331,6,8,ATTENTION,46,PH SEOW* c2,55.0,S DUNDERDALE,1,9yo B AUS G
58,20240331,6,9,GOLDEN HORSE,44,M LUKMAN* c3,54.0,WC LIM,8,7yo CH AUS G
59,20240331,6,10,IRON SAMURAI,44,SU LIM,54.0,SY LIM,11,5yo B NZ G
60,20240331,6,11,TRUDY,50,Unfixed,57.0,S HAMILTON,6,7yo B NZ F
61,20240331,7,1,AWESOME STORM,117,PH SEOW* c2,59.5,S DUNDERDALE,8,6yo BR AUS G
62,20240331,7,2,GAMESTONKS,103,CLYDE LECK* c1,59.0,C LECK,11,7yo B NZ G
63,20240331,7,3,BERRY BLISS,90,SU LIM,57.0,C LECK,13,5yo B NZ G
64,20240331,7,4,KING'S COMMAND,86,R SHAFIQ,56.0,S ELLIS,9,7yo GR NZ G
65,20240331,7,5,SKYDANCE ECLIPSE,82,S HAFIS c1,55.5,F MAYNARD,4,9yo B AUS G
66,20240331,7,6,AHTIMS KLIS,77,A AZIZI* c3,54.5,NM SELVAN,12,8yo B AUS M
67,20240331,7,7,COUNTOFMONTECRISTO,77,L DE SOUZA,54.5,MW TEH,5,10yo B NZ G
68,20240331,7,8,SAN ANDREAS,77,I FIKRI* c2,54.5,AB ABDULLAH,2,7yo B AUS G
69,20240331,7,9,EMPEROR TAIZONG,71,KC THAM c1,54.0,KC TIANG,1,7yo B AUS G
70,20240331,7,10,OZZY STAR,70,M LUKMAN* c3,54.0,WC LIM,3,9yo CH AUS G
71,20240331,7,11,PACIFIC EMPIRE,65,R NUQMAN* c1,53.0,KC TIANG,10,5yo BR AUS G
72,20240331,7,12,ROCKET HORSE,63,Unfixed,52.5,AB ABDULLAH,7,4yo B AUS G
73,20240331,7,13,ARTHUR PEGASUS,59,Unfixed,52.0,NM SELVAN,6,8yo B AUS G
74,20240331,8,1,BIG FRANCK,48,PH SEOW* c2,58.0,S DUNDERDALE,2,6yo BR AUS G
75,20240331,8,2,PACIFIC WINDSOR,47,KC THAM c1,58.0,KC TIANG,1,4yo CH AUS G
76,20240331,8,3,ARABIAN NIGHTS,44,L DE SOUZA,58.0,MW TEH,3,4yo B NZ G
77,20240331,8,4,DEPENDABLE,32,H HAIKAL* c3,58.0,HY CHENG,6,6yo B NZ G
78,20240331,8,5,KNIGHT COMMAND,22,A NAZIR* c3,58.0,M SUKRI,4,5yo B ARG G
79,20240331,8,6,BUSINESS MASTER,56,R SHAFIQ,56.5,HY CHENG,5,5yo B NZ M
80,20240331,8,7,LAXON,47,I FIKRI* c2,55.0,S ELLIS,8,3yo B/BR NZ G
81,20240331,8,8,FLAMING DASH,35,S ZULFIKRI c2,55.0,S SIVA,7,3yo B NZ C
82,20240331,9,1,LIM'S BETTERREADY,61,I FIKRI* c2,59.0,L MOY,10,6yo B AUS G
83,20240331,9,2,PACIFIC DIAMOND,60,KC THAM c1,58.5,KC TIANG,4,5yo CH AUS G
84,20240331,9,3,CAVALLA COURT,53,A AZIZI* c3,55.0,NM SELVAN,12,8yo B NZ G
85,20240331,9,4,THOUSAND MILE EYE,52,S HAFIS c1,54.5,HY CHENG,1,5yo CH NZ G
86,20240331,9,5,AHORSEWITHNONAME,50,L DE SOUZA,53.5,MW TEH,7,5yo B/BR AUS M
87,20240331,9,6,SAHM,50,H HAIKAL* c3,53.5,M SUKRI,2,7yo GR NZ G
88,20240331,9,7,FLAMING PHOENIX,47,PH SEOW* c2,52.0,KC TIANG,8,5yo B AUS F
89,20240331,9,8,LOVING BABE,46,R NUQMAN* c1,52.0,BT LIM,13,7yo BR AUS G
90,20240331,9,9,COLONEL CHIEF,45,SU LIM,52.0,F MAYNARD,3,9yo BR ARG G
91,20240331,9,10,ELITE SAINT,44,A NAZIR* c3,52.0,I ISMADI,11,9yo B/BR USA G
92,20240331,9,11,PERFECT BRANDZ,44,Unfixed,52.0,C LECK,5,7yo B AUS G
93,20240331,9,12,TELLER,58,Unfixed,57.5,BT LIM,6,8yo BR ARG G
94,20240331,9,13,INHERIT,56,Unfixed,56.5,HY CHENG,9,8yo B AUS G
